Medical_Term,Frequency
wheezing,222
attached,222
pink,222
pressures,222
stone,221
smoke,221
septal,221
branches,221
dressings,220
hysterectomy,220
pattern,220
dental,219
even,219
regurgitation,218
edge,218
inr,218
induced,218
give,218
ascending,218
indicated,218
decrease,217
yesterday,217
microscope,217
modified,217
narrowing,217
congestion,217
sitting,216
nursing,216
man,216
retractor,216
subclavian,216
clean,215
cannot,215
cutting,215
packed,214
maintained,214
significantly,214
toes,214
wounds,214
tests,214
emg,214
especially,213
according,213
separated,212
iii,212
arterial,212
agreed,212
metastatic,211
curved,211
says,211
polyps,210
groin,210
incontinence,210
sagittal,210
american,209
wedge,209
heparin,209
clamps,209
insufficiency,208
living,208
noncontributory,208
deficits,208
intubation,208
consult,208
alignment,208
transported,208
eating,207
ureter,207
cerebral,207
signal,207
sister,207
lot,207
really,207
remainder,207
cholecystectomy,207
brief,206
atrium,206
sides,206
protocol,206
linear,206
rotation,206
stopped,205
border,205
improve,205
rubs,205
obesity,205
facet,205
start,205
ordered,205
urethra,205
attempt,205
sclerae,204
recommend,204
painful,204
apex,204
brother,204
neuropathy,204
infarction,204
herniated,203
forearm,203
pulled,202
scalp,202
drugs,202
thyromegaly,202
puncture,202
location,202
elevation,202
got,202
connected,201
objective,201
bluntly,201
umbilicus,201
slowly,201
how,200
fistula,200
interval,200
endoscopy,200
form,199
sigmoid,199
prominent,199
hole,199
basis,199
excess,198
never,198
station,198
retrograde,197
diagonal,197
polyp,197
cross,197
occurred,197
potential,197
approach,196
margins,196
dysphagia,195
inflammation,195
inflammatory,195
dressed,195
proper,195
genitourinary,195
though,195
essentially,194
necessary,194
frequency,194
esophageal,193
demonstrates,193
pacu,193
combination,193
attempted,192
filled,192
instrumentation,192
color,192
gland,192
surgeries,192
posterolateral,192
functional,191
prednisone,191
wires,191
summary,191
cooperative,191
platelet,191
complaining,191
biceps,191
person,190
hands,190
thickening,190
involved,190
tympanic,190
median,190
starting,190
cecum,190
hospitalization,190
plus,190
figure,190
cleared,189
dysfunction,189
thickness,189
thoroughly,189
atrophy,189
aneurysm,189
hypothyroidism,188
vagina,188
nucleus,188
mucosal,188
spontaneous,188
cause,188
monitor,188
cleaned,187
african,187
try,187
appetite,187
couple,186
spondylosis,186
induction,185
knees,185
horizontal,185
meds,185
palpitations,185
locking,185
reveal,184
digital,184
sterilely,184
decision,184
reaction,184
effect,184
consisting,184
congestive,184
tension,184
requiring,183
set,183
changed,183
best,183
caliber,183
identify,182
swallowing,182
planned,182
stimulation,182
cement,182
umbilical,182
lasix,182
careful,181
femur,181
padded,181
occasionally,181
doctor,181
ovary,181
orbital,181
complains,180
pericardial,180
pocket,180
removing,180
debridement,180
fascial,179
outside,179
tested,179
injuries,179
organomegaly,179
image,179
vehicle,179
cystoscopy,179
fossa,179
interspace,179
ports,179
cauterized,179
chloride,179
flank,178
adrenal,178
fully,178
appendectomy,178
